"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Dismas Nkundu","","","MUSEVENI THROWS GOVERNMENT THIEVES INTO DONORS' JAWS","800 words"," Africa News","","",
"Kyazze Simwogerere","","","UGANDA: NYERERE WARNS TRIBALISTS","1187 words"," Africa News","","",
"","","","SUDAN: IGADD STAYS THE COURSE IN SPITE OF KHARTOUM'S ARROGANCE","534 words"," Africa News","","",
"","","","OUTCRY OVER TOXIC WASTE IMPORT PLAN","1147 words"," Africa News","","",
"","","","INTELLIGENCE AGENTS 'SNOOPING' IN RDP BUSINESS","1227 words"," Africa News","","",
"Amrit Manga","","","SOUTH AFRICA: BUTHELEZI'S BATTLE TO CONTROL THE MONARCHY","2854 words"," Africa News","","",
"Alle Badara Sheriff","","","SENEGAL: FATE OF DAKAR UNIVERSITY YEAR IN BALANCE","480 words"," Africa News","","",
"Richard Joseph","","","RWANDA: "The World and Rwanda"","1174 words"," Africa News","","",
"Chukwuemeka Gahia","","","DEMOCRACY = SUCCESS","1974 words"," Africa News","","",
"Mike Akpan","","","NIGERIA: Clamour for a U-Turn","1534 words"," Africa News","","",
"","","","MOZAMBIQUE: 6.4 MILLION REGISTER","2427 words"," Africa News","","",
"Tunde Asaju","","","WEST AFRICA: ECOWAS In Distress","2134 words"," Africa News","","",
"","","","THE NOMA AWARD FOR PUBLISHING IN AFRICA; Malawian scholar wins 1994 Noma Award","880 words"," Africa News","","",
"Makau was Mutua","","","LET'S RE-DRAW MAP ALONG AFRICAN LINES","1147 words"," Africa News","","",
"","","","CONTINENT LEGAL AGREEMENT TO CURB DESERTIFICATION TO BE OPENED FOR SIGNATURE IN PARIS, 14-15 OCTOBER","1787 words"," Africa News","","",
"","","","CURRENCY EXCHANGE","2494 words"," Africa News","","",
"","","","EMPLOYMENT","520 words"," Africa News","","",
"","","","RESOURCES","907 words"," Africa News","","",
"","","","CALLS FOR PAPERS;","574 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","1187 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","667 words"," Africa News","","",
"","","","PLANNING AHEAD","627 words"," Africa News","","",
"","","","EVENTS","320 words"," Africa News","","",
"","","","THE MOON IS DEAD! GIVE US OUR MONEY! WINS THE 1994 HERSKOVITS AWARD","307 words"," Africa News","","",
"Human Rights Watch","","","SUDAN REPORT","1094 words"," Africa News","","",
"Amnesty International","","","EQUATORIAL GUINEA: AMNESTY INTERNATIONAL RELEASES REPORT","294 words"," Africa News","","",
"WORK FOR JUSTICE (Maseru)","","","LESOTHO WOMEN WANT TO BE FIRST CLASS CITIZENS","840 words"," Africa News","","",
"Charles Onyango-Obbo, THE MONITOR (Kampala)","","","UGANDA DON'T LET YOUR CHILD BE A JOURNALIST","1547 words"," Africa News","","",
"Africa News Service","","","DEPORTED EDITOR: 'THE PRESS IS CRITICAL TO DEMOCRACY."","1494 words"," Africa News","","",
"THE DAILY OBSERVER (Banjul)","","","THE GAMBIA: OBSERVER BOSS DEPORTED","1227 words"," Africa News","","",
"WEEKLY MAIL (Johannesburg)","","","TRACING THE BLUES TO TIMBUKTU","867 words"," Africa News","","",
"WEEKLY MAIL (Johannesburg)","","","CONTINENT AFRICAN LINK-UP A BOOST FOR JSE","920 words"," Africa News","","",
"Alieu O. Faal, DAILY OBSERVER (Banjul)","","","CONTINENT PRIVATE SECTOR PARTICIPATION IN NATIONAL DEVELOPMENT","1494 words"," Africa News","","",
"SUDAN DEMOCRATIC GAZETTE (London)","","","SUDAN: NEW DRY SEASON ATROCITIES ARE INTENDED TO DESTROY THE NUBA MOUNTAINS","1947 words"," Africa News","","",
"Eddie Koch, WEEKLY MAIL (Johannesburg)","","","PAYING THE COST FOR LETHAL CARGO","694 words"," Africa News","","",
"Amrit Manga, NEW NATION (Johannesburg)","","","SOUTH AFRICA: WILL THE RDP DELIVER THE GOODS?","3134 words"," Africa News","","",
"Utibe Ukim, NEWSWATCH (Lagos)","","","NIGERIA: WHERE IS THE MONEY?","6707 words"," Africa News","","",
"Sam Olukoya, NEWSWATCH (Lagos)","","","THE WORLD REMEMBERS SARO-WIWA","854 words"," Africa News","","",
"Wale Oladepo, NEWSWATCH (Lagos)","","","OBASANJO: MY POLITICAL MISSION","574 words"," Africa News","","",
"Abdullah Savage, DAILY OBSERVER (Banjul)","","","THE GAMBIA: AFPRC REVEALS EAGERLY-AWAITED TIMETABLE","467 words"," Africa News","","",
"AMNESTY INTERNATIONAL","","","AMNESTY INTERNATIONAL PROTESTS HARASSMENT OF LOCAL GROUPS IN NORTH AFRICA","960 words"," Africa News","","",
"DAILY OBSERVER (Banjul)","","","CONTINENT GLOBAL AID BECOMING INVESTMENT BUSINESS","1280 words"," Africa News","","",
"Phillip van Niekerk","","","ANGOLA: AFTER THE WAR A SHATTERED PEACE","2134 words"," Africa News","","",
"Africa News Service","","","MOZAMBIQUE: ELECTION RESULTS","134 words"," Africa News","","",
"Reed Kramer, Africa News Service","","","U.S. POLICY: ANGOLA FIGHTING EVOKES BIPARTISAN REACTION IN WASHINGTON","1040 words"," Africa News","","",
"","","","THE JOY OF COOKING--AFRICAN STYLE!!","507 words"," Africa News","","",
"","","","Resources","2540 words"," Africa News","","",
"","","","Calls for Papers","1160 words"," Africa News","","",
"","","","Employment Opportunities","760 words"," Africa News","","",
"","","","Education & Travel","694 words"," Africa News","","",
"","","","New Releases","827 words"," Africa News","","",
"","","","Exhibitions & Programs","467 words"," Africa News","","",
"","","","Planning Ahead","654 words"," Africa News","","",
"","","","Events","294 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","News Group Wants Sanctions for Freedom Violators","1454 words"," Africa News","","",
"William Pretorius, Weekly Mail & Guardian (Johannesburg), December 9, 1994","","","SOUTH AFRICA: New life for old classic -- Cry, the Beloved Country","867 words"," Africa News","","",
"S. Beitz, The Monitor (Kampala), The Monitor (Kampala), November 21-23, 1994","","","Africa's voice Cries Out in Germany","694 words"," Africa News","","",
"Steve Gordon, Weekly Mail & Guardian (Johannesburg), Weekly Mail & Guardian (Johannesburg), December 9, 1994","","","Africa on the move: Dibango Album a Crash Course in Contemporary African Music","814 words"," Africa News","","",
"","","","NIGERIA: Amnesty International Press Conference with Wole Soyinka","1227 words"," Africa News","","",
"","","","NIGERIA: Statement by Amnesty International","680 words"," Africa News","","",
"Ezekiel Pajibo","","","LIBERIA: Quest For Peace- an Update","2067 words"," Africa News","","",
"","","","U.S./ AFRICA: Speech by National Security Adviser Anthony Lake to the Organization for African Unity","2534 words"," Africa News","","",
"Newswatch, December 5, 1994","","","NIGERIA: The Women are Coming","854 words"," Africa News","","",
"New Nation (Johannesburg), December 2, 1994","","","SOUTH AFRICA: Women Take The FLoor","1227 words"," Africa News","","",
"Dotun Oladipo, Newswatch, November 28, 1994","","","FOOTBALL: The Road is Now Clear","1067 words"," Africa News","","",
"New Nation, November 25, 1994","","","TRADE: ADB Proposes A Twin-Track Route For Southern Africa","800 words"," Africa News","","",
"","","","TRADE: GATT's Impact on Africa","1334 words"," Africa News","","",
"Joseph Ode, Newswatch, November 21, 1994","","","AFRICAN ECONOMIES: Still In The Woods","1787 words"," Africa News","","",
"The Monitor, November 18-21, 1994","","","UGANDA: Politics Isn't Everything","640 words"," Africa News","","",
"","","","LIBYA: Humanitarian Impact Of The UN Sanctions","1600 words"," Africa News","","",
"Martin Lutalo Mpungu, Monitor, November 18-21, 1994","","","UGANDA: Another Bull Shall Rise - M7","1907 words"," Africa News","","",
"James Serugo in East London, The Monitor, November 18-21, 1994","","","SOUTH AFRICA: Of Wealthy Ugandans, Rich Editors, Poor South Africans","1120 words"," Africa News","","",
"Phillip van Niekerk, Weekly Mail & Guardian (Johannesburg), December 9, 1994","","","SOUTH AFRICA: Fragile, but Slovo's reaping the fruits of a lifelong fight","1654 words"," Africa News","","",
"Anton Harber, Weekly Mail & Guardian (Johannesburg), December 23, 1994","","","SOUTH AFRICA: Zero Hour plus 235 days","2387 words"," Africa News","","",
"Wale Oladepo, Newswatch, November 28, 1994","","","NIGERIA: An Angry Tirade","1014 words"," Africa News","","",
"Wale Akin-Aina, Newswatch, December 5, 1994","","","NIGERIA: A Change of Attitude?","907 words"," Africa News","","",
"Ebrima Ceesay, Daily Observer, November 1, 1994","","","THE GAMBIA: World Bank Gives Nod to Timetable","907 words"," Africa News","","",
"Dotun Oladipo, Newswatch (Lagos), November 21, 1994","","","AFRICA: Violence in Urban Africa","880 words"," Africa News","","",
"Jim Cason Africa News Service","","","MOZAMBIQUE CHISSANO INSTALLS NEW CABINET","654 words"," Africa News","","",
"Cindy Shiner, Africa News Service","","","ANGOLA: 'Living Again' as Peace Hopes Rise","1040 words"," Africa News","","",
"Reed Kramer, Africa News Service","","","U.S. POLICY: Africa Aid Cuts Planned, While Clinton Aide Promises Continued Help","1054 words"," Africa News","","",
"","","","THE JOY OF COOKING--AFRICAN STYLE!!","494 words"," Africa News","","",
