"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Ethiopian News Agency","","","Ethiopia;The Week in Brief","446 words"," Africa News","","",
"Ethiopian News Agency","","","Science and Health;Number Of Rare Ethiopian Wild Life On The Rise","143 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Bishop Urges Churches To Rid Africa Of Its Evils","429 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;President Addresses Joint Meeting Of Houses","913 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Playing with people's lives (Editorial)","300 words"," Africa News","","",
"Joseph Aranes, Cape Argus (Cape Town)","","","South Africa;Cops, Pagad Join Forces","399 words"," Africa News","","",
"Peter Fabricius, Cape Argus (Cape Town)","","","South Africa;More SA-India Pacts On The Cards","1076 words"," Africa News","","",
"Edward West, Cape Argus (Cape Town)","","","Business and Finance;Heinz Gets Stake In Wellington's","186 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;PAC Chief Sets Out Causes Of Armed Conflict","297 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Apla Has 'No Regrets' Over St James","325 words"," Africa News","","",
"African Rights (London)","","","Kenya; "Consequences Of Kenya's Crumbling Political Institutions"","3658 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Foreign Agreements Net Mpumalanga Billions In Investment","293 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Racism Rejected As A Defence In Nepotism Probe","231 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;AG Slates Mpumalanga Legislature In Special Report","513 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Death Threats Against Media For Coverage Of Nepotism Probe","435 words"," Africa News","","",
"United Nations","","","East Africa; General Assembly Statements By Burundi, Tanzania","242 words"," Africa News","","",
"Goliath Mungonge, Post of Zambia (Lusaka)","","","Sports - Soccer;Only 2 Coaches Coming For FAZ Interviews","179 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Sports - Soccer;Zambia Ordered To Host Cosafa","457 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Life and Features: Fabian Zulu","1007 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Growing Poverty (Editorial)","668 words"," Africa News","","",
"Sheikh Chifuwe, Post of Zambia (Lusaka)","","","Zambia;Teachers Reject 'Mother' Pupils","345 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Zambia;'Zambian Economy Is In Bad Shape'","671 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Zamtel's Bills Irk Minister","195 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Zambia;World Habitat Day","489 words"," Africa News","","",
"Sam Mujuda, Post of Zambia (Lusaka)","","","Zambia;Chiluba, Kaunda To Dine Together","349 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Prison Warders Hatched Plan - Lawyer","420 words"," Africa News","","",
"Jef Otieno, The Nation (Nairobi)","","","Kenya;Ng'eno Urges Joint Efforts For Africa's Urban Crisis","477 words"," Africa News","","",
"Eric Odang, The Nation (Nairobi)","","","Sports - General;Forces' Hockey Side Lose Narrowly","203 words"," Africa News","","",
"Elias Makori, The Nation (Nairobi)","","","Sports - General;Tikolo Leads Kenyans Today","536 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Urban Crisis Calls For Serious Action (Editorial)","383 words"," Africa News","","",
"Eman Omari And Jacinta Sekoh, The Nation (Nairobi)","","","Kenya;Safina Denied Registration","888 words"," Africa News","","",
"Panafrican News Agency","","","Kenya;Kenya Searching For Riot Control Weapons","412 words"," Africa News","","",
"United States Information Agency","","","Tunisia; Albright, Zouari Hail Strong US, Tunisian Ties","1423 words"," Africa News","","",
"United States Information Agency","","","Tunisia; Pelletreau, Seelye Worldnet Dialogue On Tunisia","3524 words"," Africa News","","",
"Joe Chilaizya, Times of Zambia (Lusaka)","","","Zambia;Girl-Child Pregnancies' Wrong Solution","1701 words"," Africa News","","",
"Abdon Yezi (Commentary), Times of Zambia (Lusaka)","","","Zambia;Human Rights Needs In Zambia: Mere Rhetoric?","1704 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Comesa Future Bleak","247 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Develop Mpulungu Urges Trader","216 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambian Horticultural Industry Under Threat","249 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;K40m Pumped Into Natural Water","196 words"," Africa News","","",
"A Correspondent, Times of Zambia (Lusaka)","","","Business and Finance;Zamox Spends K105m On New 'Safe' Machinery","272 words"," Africa News","","",
"Chris Kachingwe, Times of Zambia (Lusaka)","","","Sports - Soccer;Power Host Warriors","599 words"," Africa News","","",
"Kennedy Limwanya, Times of Zambia (Lusaka)","","","Sports - General;2 Judokas In France","291 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Stop Abortion Catholics Urge State","278 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Science and Health;Zambian Hospital Sounds Warning","217 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Minister Scalds National Union for Communication Workers","276 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;MPs Oppose Employment Bill","566 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;'Chiluba Presidential Tenure Still Restricted'","389 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;ZPA Taken To Court Over Luanshya Mines Sale","463 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Reduce Cattle Herds, Says ZNFU Chief","485 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; East African Meeting to Discuss Internet","461 words"," Africa News","","",
"Independent Journalism Centre (Lagos)","","","Nigeria; Media Alert from Nigeria","366 words"," Africa News","","",
"Lawrence Wamanga, New Vision (Kampala)","","","Business and Finance;New Computer Monthly Out in Uganda","201 words"," Africa News","","",
"Eric Lakidi, New Vision (Kampala)","","","Uganda;McNamara On Bribes","232 words"," Africa News","","",
"Vision Reporter, New Vision (Kampala)","","","Uganda;Museveni Meets McNamara","168 words"," Africa News","","",
"Simon Kaheru, New Vision (Kampala)","","","Business and Finance;Uganda's Grand Imperial Hotel Locks Out Tenants","197 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Business and Finance;SGS Suspends Top Official in Uganda","379 words"," Africa News","","",
"Richard Mutumba and John Eremu, New Vision (Kampala)","","","Uganda;'Forget Ivory Tower'","384 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Well Done, Brig Fred Kamwesiga (Editorial)","472 words"," Africa News","","",
"David Musoke, New Vision (Kampala)","","","Uganda;Ekanya's Creator Loses Eye In Crash","237 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Japan To Charge Illegal Immigrants","171 words"," Africa News","","",
"Erich Ogoso Opolot, New Vision (Kampala)","","","Uganda;'Britain Not To Press For Parties'","216 words"," Africa News","","",
"Ofwono-Opondo, New Vision (Kampala)","","","Uganda;Britain Donates 34B/= To Primary Education","309 words"," Africa News","","",
"Josephine Maseruka, New Vision (Kampala)","","","Uganda;Bishop Kawuma Is Dead","448 words"," Africa News","","",
"John BB Nzinjah and John Thawite, New Vision (Kampala)","","","Uganda;18 Killed in Rebel Massacre","241 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Southern Africa; Donors Recommend Capacity, Not Dependency For Media","867 words"," Africa News","","",
"Stephen Muiruri, The Nation (Nairobi)","","","Kenya;Raiders Burn Boy To Death","344 words"," Africa News","","",
"Patrick Mayoyo, The Nation (Nairobi)","","","Kenya;Attack Victims Die In Hospital","309 words"," Africa News","","",
"Eric Odanga, The Nation (Nairobi)","","","Sports - General;Kenyans Tame Iron And Steel Of Egypt","374 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Damning Insight Into Coast Chaos (Editorial)","370 words"," Africa News","","",
"Kipkoech Tanui, The Nation (Nairobi)","","","Kenya;Sorry, Government Tells Opposition Leaders","871 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Nyoike: Why We Opted For FORD-People","746 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Teachers Tell Government: No Way","1238 words"," Africa News","","",
"Kisut G/Egziabher, Ethiopian News Agency","","","Science and Health;US Medical Team Begins Cardiac Operation In Ethiopia","326 words"," Africa News","","",
"Ethiopian News Agency","","","Business and Finance;76 Local Entrepreneurs Invest In Dire Dawa, Ethiopia","176 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Court Adjourns Trial Of Former Derg Officials","141 words"," Africa News","","",
"a Staff Reporter, Ethiopian News Agency","","","Ethiopia;First Private University To Be Established","273 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;House of Peoples' Representatives, Federation In Session","1083 words"," Africa News","","",
"John Freudenburg, Cape Argus (Cape Town)","","","Sports - General;Amanda's Clifton Playground","778 words"," Africa News","","",
"Edward West, Cape Argus (Cape Town)","","","Business and Finance;South Africa's Clothing Industry's On The Up","411 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Pagad Dons New Guise (Editorial)","303 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;That Was No Robbery, It Was 'Repossession'","236 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;De Klerk Purged Army 'Over Rumours'","519 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Camp Executions Admitted By APLA","446 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;APLA Wants Mandela To Free Its Cadres Still In Jail","131 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Investigation Finds No Proof Of Nepotism","436 words"," Africa News","","",
"Ian Maphiri, African Eye News Service (South Africa)","","","South Africa;Official Insists That It's Not Wrong To Steal From Government","201 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Judge Heath Set To Meet Phosa On Corruption Investigations","471 words"," Africa News","","",
"John Hammond and Sizwe Yende, African Eye News Service (South Africa)","","","South Africa;Suspected Rhino Poacher Refused Bail","233 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;R300-Million Government Development Criticised","356 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","Southern Africa;SA Treasures Relationship With Mozambique","369 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Envisaged Boere Republic Registered In The Heart Of Mpumalanga","397 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Namibia Votes On Dec 2, Fate Of Election Officials Undecided","355 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Etosha Blaze 'Too Hot To Handle'","357 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Thousands Register For December Poll","434 words"," Africa News","","",
"Jules Gueye, PANA Staff Correspondent, Panafrican News Agency","","","Sports - Soccer;Risky Outing For Tunisia's Club African In Ghana","290 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Poor States Need 160 Billion Dollars For More Food","384 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Ethiopia;Ethiopia To Get American University In 1998","253 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa;Salim Urges African Religious Leaders To Fight Extremism","352 words"," Africa News","","",
"Sidy Gaye, PANA Staff Correspondent, Panafrican News Agency","","","Science and Health;Africa Prefers UNDP Handle Desertification Funds","229 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Gambia;Eight Killed As Light Spanish Aircraft Crashes in Gambia","169 words"," Africa News","","",
"United Nations Children's Fund (UNICEF)","","","Africa-at-Large;UNICEF and World Bank join in Water & Sanitation Support","361 words"," Africa News","","",
"The White House (Washington)","","","United States and Africa; Clinton Names Jesse Jackson Special Africa Envoy","373 words"," Africa News","","",
"U.S. Agency for International Development (USAID)","","","United States and Africa; GREAT LAKES - Complex Emergency Situation Report","3983 words"," Africa News","","",
"Kenya Wildlife Service (Nairobi)","","","Science and Health; First International Conference on Eco-Tourism for Kenya","364 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Sports - Soccer;WFUNA, GFA Organise Fund-Raising Matches","276 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;Pay As You Fetch","906 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;MP Petitions Ga North Assembly","334 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;Kufuor Congratulates Jake","248 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;Verandah Boys Shake Kumasi","256 words"," Africa News","","",
"Issabella Gyau, Ghanaian Independent (Accra)","","","Ghana;Copyright Forum Ends In Confusion","283 words"," Africa News","","",
"Lewis Asubiojo, Ghanaian Independent (Accra)","","","Science and Health;Ghana Health Ministry Lacks Focus - Minister","549 words"," Africa News","","",
"Kabral Blay-Amihere Jnr., Ghanaian Independent (Accra)","","","Africa-at-Large;UN Must Overhaul its Structures- Says Ghana Minister","533 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;I Can Only Run For A Political Office Under A United Nkrumaists","1107 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;MP Urges Churches To Help SSS Graduates","426 words"," Africa News","","",
"Joshua Nimako, Ghanaian Independent (Accra)","","","Ghana;District Assemblies Advised To Have Think Tanks","296 words"," Africa News","","",
"Kabral Blay-Amihere Jnr., Ghanaian Independent (Accra)","","","Ghana;Union Marks Teachers' Day","670 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Business and Finance;Dollarisation Of The Ghanaian Economy - Any Way out?","1172 words"," Africa News","","",
"Lewis Asubiojo, Ghanaian Independent (Accra)","","","Ghana;Ahwoi Condemns Ghana Mission In U.S.","673 words"," Africa News","","",
"Henrietta Blankson & Juliet Amoah, Ghanaian Independent (Accra)","","","Ghana;American Lottery Winner Threatens: "I Will Bomb U.S. Embassy"","724 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; Human Development Key To All Other Development","1484 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; Senate Res. Condemns Latest Violence In Congo","460 words"," Africa News","","",
"Human Rights Watch (New York)","","","Congo Kinshasa; Mass Graves Of Refugees Uncovered In Congo","1936 words"," Africa News","","",
"United States Information Agency","","","Sierra Leone; U.S. Supports Democracy In Sierra Leone","736 words"," Africa News","","",
"United Nations","","","Sierra Leone; Sanctions Imposed On Sierra Leone Junta","1554 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; DOT Secretary Hosts U.S.-Africa Trade Forum","977 words"," Africa News","","",
"Martha Mpande, Times of Zambia (Lusaka)","","","Zambia;Zambia's Poverty Gap Keeps Growing","1132 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;15 Foreign Traders To Attend Fair","261 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Foodcorp Spends K200m On Plant Machinery","232 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;212 Zambian State Firms Sold","481 words"," Africa News","","",
"Janet Ilunga, Times of Zambia (Lusaka)","","","Business and Finance;Investors Pledge $50m To Zambia Tourist Resorts","114 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - Soccer;Power On Track","384 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Mpamba Cautions On Abortion","131 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Unions' Application Struck Off","353 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Drought To Hit Peasant Farmers - Lupunga","207 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Graft Rife Roadblocks, Claims ZAM Chief","173 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Motion On Maize Subsidies Torn Apart","484 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;State, Unions Open Crucial Talks","323 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;NUCW Dares Lupunga: Apologise Or Else","535 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Science and Health;Zambian Gatherings Recipe For AIDS Spread","406 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Southern Africa;Scouts Recover Guns, Ammo","363 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Allow "Mums" Write Tests - PEO","132 words"," Africa News","","",
"Ofwono-Opondo, New Vision (Kampala)","","","Uganda;Kony Rejects Talks","331 words"," Africa News","","",
"John Nzinjah, New Vision (Kampala)","","","Uganda;Heavy Shooting Scares Kyarumba","244 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;Grenade Attacks: 19 Held","264 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Steady Progress, Big Challenge (Editorial)","337 words"," Africa News","","",
"David Musoke, New Vision (Kampala)","","","East Africa;Mkapa Urges For Closer Links","471 words"," Africa News","","",
"Simon Kaheru, New Vision (Kampala)","","","Congo Kinshasa;"Mass Graves Found In Congo"","200 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","East Africa;Museveni Welcomes Mkapa","763 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Tanzania;Tanzania News Roundup","848 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","East Africa;Kenya Smuggling Trade Worries Zanzibar","161 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Tanzania;Indian Prime Minister In Tanzania","316 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Tanzania;Hunger In Figures","313 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Tanzania;Lack Of Satisfaction In Tax Waiver","357 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Tanzania;Catastrophe Of Drought","953 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Malawi;Malawi News Roundup","2192 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Malawi;A Question Of Inheritance","947 words"," Africa News","","",
"Sheikh Chifuwe, Post of Zambia (Lusaka)","","","Sports - Soccer;Ethiopia Invites U-20 Squad","244 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Sports - Soccer;FAZ Hasn't Presented Its Budget To NSCZ","400 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;MMD Government Stabbing Workers, Says Sibetta","410 words"," Africa News","","",
"Dickson Jere, Post of Zambia (Lusaka)","","","Zambia;SAMS' Workers Lock, Weld Manager's Doors Over Wages","549 words"," Africa News","","",
"Mukalya Nampito and Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Mwiinga Threatens To Riot In House","559 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Nkumbula, UNZA/CBU Inquiries Cost k400m","255 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Central Africa;Chief Mwamba Wants Congo's Refugees Out","344 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Business and Finance;All Zambian Registered Airlines Are National Flag Carriers","313 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Business and Finance;Zambia Government Wants ZANACO, Chase Trust to Merge","421 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Africa-at-Large;Che Guevara Inspired Africa, Says Mpamba","542 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;CSUZ Present Proposals To Government","210 words"," Africa News","","",
"Dickson Jere, Post of Zambia (Lusaka)","","","Zambia;Top Party Leaders Shun Idea Dinner","771 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Government 'Blacked Out' After Failing To Pay Bill","328 words"," Africa News","","",
"The Namibian (Windhoek)","","","Namibia;Press Freedom Accolade For Lister","220 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Science and Health;Namibia: Most cases of blindness 'avoidable'","398 words"," Africa News","","",
"Helge Schutz, The Namibian (Windhoek)","","","Southern Africa;SADC, Germany Come Face To Face","451 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Congo Brazzaville;Congo President 'Not Seeking Exile' In Namibia","476 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Chief 'Bans' Rival From Going Overseas","346 words"," Africa News","","",
"Nation Correspondent, The Nation (Nairobi)","","","Kenya;Tension Runs High in Kwale","392 words"," Africa News","","",
"Nation Reporter And Correspondents, The Nation (Nairobi)","","","Kenya;Rally's Venue Surveyed","383 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Why Government Honesty Is Key For Reforms (Editorial)","387 words"," Africa News","","",
"Kipkoech Tanui, The Nation (Nairobi)","","","Kenya;Now MPs Want Kamotho Fired","402 words"," Africa News","","",
"Nation Reporter, The Nation (Nairobi)","","","Kenya;Registrar Speaks Out on FORD People","441 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Strike Stays As Deadline Passes","1381 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Commission Says SADF Replies 'Not Satisfactory'","219 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Ex-SADF Chief Admits Murder Cover-Up","633 words"," Africa News","","",
"Mohen Govender, Cape Argus (Cape Town)","","","Sports - Soccer;Larsen Out To Seize His Big Chance","370 words"," Africa News","","",
"Gill Lord, Cape Argus (Cape Town)","","","Arts and Entertainment;South Africa: Censorship Bid At SABC","392 words"," Africa News","","",
"Thabo Mabaso, Business Reporter, Cape Argus (Cape Town)","","","South Africa;'Racist' Union Threatened With De-Registration","423 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Forging a Partnership (Editorial)","309 words"," Africa News","","",
"Joseph Aranes, Staff Reporter, Cape Argus (Cape Town)","","","South Africa;Stanfield Nephew Quizzed On Killing","396 words"," Africa News","","",
"Leonard Ndzhukula, African Eye News Service (South Africa)","","","Southern Africa;Contraband Seized On Mozambican Border","219 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","Science and Health;Undercover Unit Seizes 21 Endangered Birds","185 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Mpumalanga's Last Large Housing Project To Be Launched","268 words"," Africa News","","",
"South African Communication Service","","","South Africa; Statement on U.S. Spy Arrests","391 words"," Africa News","","",
"African National Congress of South Africa","","","South Africa; ANC Statement On IFP Attack On TRC And ANC","267 words"," Africa News","","",
"United States Information Agency","","","Egypt; Amb. Eizenstat Remarks To Egypt Chamber Of Commerce","3758 words"," Africa News","","",
"Panafrican News Agency","","","Mali;Robert McNamara Expected In Bamako Saturday","111 words"," Africa News","","",
"Panafrican News Agency","","","East Africa;Tanzania Expels Burundian Refugees","240 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa;Ghanaian Cleric Elected President Of African Church Body","337 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Churches See Debt As A Critical African Issue","356 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;France Pledges Africa Million Dollars For Security","350 words"," Africa News","","",
"Panafrican News Agency","","","Sports - Soccer;Lagos, Kampala, Sousse, Casablanca Set For Soccer Duels","505 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","United States and Africa;FBI Apologises To Pretoria Over Forgery Saga","523 words"," Africa News","","",
"Food and Agricultural Organization (Rome)","","","West Africa; Sahel Weather And Crop Situation Report No 5","449 words"," Africa News","","",
"International Foundation for Election Systems (IFES),","","","United States and Africa; U.S. Body Won't Monitor Cameroon's Election","529 words"," Africa News","","",
"The White House (Washington)","","","United States and Africa; White House Explains Jesse Jackson's Envoy Role","415 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Speaking up AGAINST the bullies (Editorial)","544 words"," Africa News","","",
"Guinness Ohazuruike, Mail and Guardian (Johannesburg)","","","Nigeria;Commonwealth Must Lead Onslaught On Nigeria","940 words"," Africa News","","",
"Andy Duffy, Mail and Guardian (Johannesburg)","","","Science and Health;Suspect Abortion Drug In Use","718 words"," Africa News","","",
"Khareen Pech and Mail & Guardian reporters, Mail and Guardian (Johannesburg)","","","Southern Africa;SA 'Soldiers' Sent Home","298 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Angola;US Forces Guard Angolan Oilfields","1287 words"," Africa News","","",
"Wally Mbhele, Mail and Guardian (Johannesburg)","","","South Africa;Reinvent The NEC, Urges Mokaba","595 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Discipline, dancing, and dying","1159 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Carrection: A Matter Of Fact","139 words"," Africa News","","",
"Mercedes Sayagues, Mail and Guardian (Johannesburg)","","","Angola;Father Of Angola Rots In A Grey Mausoleum","689 words"," Africa News","","",
"Chris Opperman and Peta Thornycroft, Mail and Guardian (Johannesburg)","","","Mozambique;Fresh Lead In Machel Crash Probe","955 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;'Lubowski Was Never A Spy'","850 words"," Africa News","","",
"Madeleine Wackernagel, (Column), Mail and Guardian (Johannesburg)","","","Business and Finance;Taking Stock: Out Of Step With The Economic Reality","672 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Delivering On Labour","813 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Reshuffling The Public Debt In South Africa","624 words"," Africa News","","",
"Andrew Spencer, Mail and Guardian (Johannesburg)","","","Sports - General;Golf: Sponsors Bank On Els","444 words"," Africa News","","",
"V Roger Prabasarkar, Mail and Guardian (Johannesburg)","","","Sports - General;Cricket: Donald Takes It On The Shin","1295 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;First Taste Of France Could Be A Bit Sour","878 words"," Africa News","","",
"Maria McCloy, (Column), Mail and Guardian (Johannesburg)","","","Arts and Entertainment;In Your Ear: Radio On The Net","342 words"," Africa News","","",
"Ferial Haffajee, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Murals On Wheels","203 words"," Africa News","","",
"Mail & Guardian reporters, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Arts To Go Back On Screen","406 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Williams Is No Coconut","479 words"," Africa News","","",
"Mail & Guardian reporter, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Strong Hand At Tribute's Helm","348 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;The Curator As God","1437 words"," Africa News","","",
