obsid	ucdpid	dyadid	side_a	acr	side_b	startdate	enddate	oldid	oldconfid	olddyadid	extraterritorial	rebpolwing	rebpolwinglegal	rebestimate	rebestlow	rebesthigh	rebstrength	centcontrol	strengthcent	mobcap	armsproc	fightcap	terrcont	terrname	effterrcont	conflicttype	transconstsupp	rebextpart	rebpresosts	presname	rebel.support	rtypesup	rsupname	gov.support	gtypesup	gsupname	govextpart	type.of.termination	victory.side	prevactive	prevact.ref	oldobsid
NSA.3.4-250	37	419	Israel	ISR	PFLP	2001-01-01	2001-12-31	1370	1370.1	1370.1-2	0	no	NA	900	800	1000	much weaker	yes	moderate	moderate	low	low	no	NA	NA	terrorist	tacit	no	some	Syria; Lebanon 	explicit	military	Syria	explicit	military	USA	minor	5	NA	1	NSA.3.4-247	NSA.3.3-247
NSA.3.4-253	37	426	Israel	ISR	AMB	2002-03-26	2004-12-31	1370	1370.1	1370.1-7	0	alleged link	yes	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	terrorist	explicit	minor	no	.	no	NA	.	explicit	military	USA	minor	7	NA	1	NSA.3.4-232,NSA.3.4-277	NSA.3.3-250
NSA.3.4-256	37	427	Israel	ISR	PNA	1996-09-25	1996-12-31	1370	1370.1	1370.1-6	0	explicit link	yes	35000	29000	35000	weaker	yes	moderate	low	low	low	no	NA	NA	civil war	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	5	NA	1	NSA.3.4-277	NSA.3.3-253
NSA.3.4-259	37	427	Israel	ISR	PNA	2000-01-01	2002-12-31	1370	1370.1	1370.1-6	0	explicit link	yes	35000	29000	35000	weaker	yes	moderate	low	low	low	no	NA	NA	civil war	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	3	NA	1	NSA.3.4-256,NSA.3.4-277	NSA.3.3-256
NSA.3.4-262	37	428	Israel	ISR	PFLP-GC	1989-01-01	1989-12-31	1370	1370.1	1370.1-3	0	no	NA	1000	500	2000	much weaker	yes	moderate	low	low	low	no	NA	NA	terrorist	explicit	no	some	Syria; Lebanon	explicit	military	Syria	explicit	military	USA	minor	5	NA	0		NSA.3.3-259
NSA.3.4-265	37	629	Israel	ISR	Popular Resistance Committees	2006-01-01	2006-12-31	NA	NA	NA	0	alleged link	yes	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	NA	tacit	no	no	NA	no	NA	NA	explicit	military	USA	no	5	NA	1	NSA.3.4-277	NSA.3.3-262
NSA.3.4-268	37	695	Israel	ISR	Palestinian insurgents	1949-01-01	1964-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	no	NA	low	low	low	no	NA	NA	ethnic conflict	NA	NA	extensive	neighboring Arab states	NA	NA	NA	explicit	military	United States	minor	6.1	NA	0		NSA.3.3-265
NSA.3.4-271	37	696	Israel	ISR	Non PLO groups	1965-01-01	1973-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	no	NA	low	low	low	no	NA	NA	ethnic conflict	NA	NA	extensive	neighboring Arab states	NA	NA	NA	explicit	military	United States	minor	6.1	NA	1	NSA.3.4-268	NSA.3.3-268
NSA.3.4-274	37	780	Israel	ISR	Rejectionist Front	1974-01-01	1988-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	low	low	low	low	no	NA	NA	ethnic conflict	tacit	no	extensive	Syria	explicit	military	Syria and Iran	explicit	military	United States	minor	6	NA	1	NSA.3.4-268,NSA.3.4-271,NSA.3.4-277	NSA.3.3-271
NSA.3.4-277	37	781	Israel	ISR	PLO/Fatah	1965-01-03	1993-09-13	1370	1370.1	1370.1-1.1	0	no	NA	4500	4500	4500	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	explicit	major	extensive	Egypt; Jordan; Syria; Lebanon; Tunisia	explicit	military	Jordan; Syria; Egypt; Iraq; Iran; Others	explicit	military	USA	minor	1	NA	0		NSA.3.3-274
NSA.3.4-280	39	606	China	CHN	Tibet	1950-10-07	1950-10-09	1390	1390.1	1390.1-1	0	explicit link	yes	NA	NA	NA	weaker	yes	moderate	high	low	low	yes	Tibet	low	secessionist conflict	no	no	no		explicit	military	USA	no	NA		no	5	NA	0		NSA.3.3-277
NSA.3.4-283	39	606	China	CHN	Tibet	1956-05-01	1956-12-31	1390	1390.2	1390.2-1	0	explicit link	yes	15000	15000	15000	weaker	yes	moderate	high	low	low	yes	Tibet	low	secessionist conflict	no	no	no		explicit	military	USA	no	NA		no	5	NA	1	NSA.3.4-280	NSA.3.3-280
NSA.3.4-286	39	606	China	CHN	Tibet	1959-03-10	1959-03-22	1390	1390.3	1390.3-1	0	explicit link	yes	30000	30000	30000	weaker	yes	moderate	high	low	low	yes	Tibet	low	secessionist conflict	no	no	no		explicit	military	USA	no	NA		no	4	1	1	NSA.3.4-280,NSA.3.4-283	NSA.3.3-283
NSA.3.4-289	40	605	Indonesia	INS	Republic of South Moluccas	1950-08-05	1950-11-15	1400	1400	1400-1	0	explicit link	no	5000	5000	5000	weaker	yes	high	low	moderate	moderate	yes	Republic of South Moluccas	moderate	secessionist conflict	no	no	no		explicit	non-military	Netherlands	no	NA		no	4	1	0		NSA.3.3-286
NSA.3.4-292	41	698	USA	USA	Puerto Rican Nationalist Party	1950-10-30	1950-11-04	1410	1410	1410-1	0	explicit link	yes	500	500	500	weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	tacit	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-289
NSA.3.4-295	43	598	Thailand	THI	Military Faction [Navy]	1951-06-30	1951-07-01	1430	1430.1	1430.1-1	0	no	NA	NA	NA	NA	weaker	yes	high	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-292
NSA.3.4-298	43	599	Thailand	THI	CPT	1974-10-01	1982-04-15	1430	1430.2	1430.2-1	0	explicit link	no	10000	4000	12000	weaker	yes	moderate	low	low	low	no	NA	NA	communist rebellion	no	major	extensive	Laos; Vietnam	explicit	military	China; Vietnam	explicit	military	USA	no	5	NA	0		NSA.3.3-295
NSA.3.4-301	44	699	United Kingdom	UKG	Mau Mau	1952-10-22	1956-12-31	1440	1440	1440-1	1	no	NA	120000	120000	120000	weaker	yes	moderate	high	low	low	no	NA	NA	anti-colonial	no	no	no		no	NA		no	NA		no	5	NA	0		NSA.3.3-298
NSA.3.4-304	45	600	Cuba	CUB	Military Faction - 26th of July Movement	1953-07-26	1953-07-26	1450	1450.1	1450.1-1	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-301
NSA.3.4-307	45	600	Cuba	CUB	Military Faction - 26th of July Movement	1956-12-05	1958-12-15	1450	1450.2	1450.2-1	0	no	NA	1500	62	3000	weaker	yes	high	moderate	moderate	moderate	no	NA	NA	civil war	no	no	no		no	NA		no	NA		no	4	2	1	NSA.3.4-304	NSA.3.3-304
NSA.3.4-310	45	602	Cuba	CUB	National Revolutionary Council	1961-04-17	1961-04-20	1450	1450.3	1450.3-1	0	no	NA	1000	1000	1000	weaker	yes	high	low	moderate	moderate	no	NA	NA	civil war	no	no	extensive	USA	explicit	military	USA	explicit	non-military	USSR	no	4	1	0		NSA.3.3-307
NSA.3.4-313	46	595	Indonesia	INS	Darul Islam Movement	1953-09-20	1953-12-31	1460	1460.1	1460.1-3	0	explicit link	no	NA	NA	NA	weaker	yes	high	moderate	low	low	yes	West Java, Parts of Aceh and Sulawesi	high	civil war	no	no	no		no	NA		explicit	non-military	USSR	no	5	NA	0		NSA.3.3-310
NSA.3.4-316	46	595	Indonesia	INS	Darul Islam Movement	1958-02-15	1961-12-31	1460	1460.2	1460.2-3	0	explicit link	no	NA	NA	NA	weaker	yes	high	moderate	low	low	yes	West Java, Parts of Aceh and Sulawesi	high	civil war	no	no	no		no	NA		explicit	non-military	USSR	no	4	1	1	NSA.3.4-313	NSA.3.3-313
NSA.3.4-319	46	596	Indonesia	INS	PRRI	1958-02-15	1961-12-31	1460	1460.2	1460.2-1	0	explicit link	yes	NA	NA	NA	weaker	yes	moderate	moderate	low	low	yes	Parts of Sumatra	moderate	civil war	no	no	no		explicit	military	Malaysia; USA	explicit	non-military	USSR	no	4	1	0		NSA.3.3-316
NSA.3.4-322	46	752	Indonesia	INS	Permesta movement	1958-02-15	1961-12-31	1460	1460.2	1460.2-2	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	civil war	no	no	no		explicit	military	Malaysia; USA	explicit	non-military	USSR	no	4	1	0		NSA.3.3-319
NSA.3.4-325	47	702	France	FRN	Istiqlal	1953-11-07	1956-03-02	1470	1470	1470-1	1	explicit link	no	NA	NA	NA	much weaker	yes	moderate	high	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	7	NA	0		NSA.3.3-322
NSA.3.4-328	48	705	France	FRN	National Liberation Army	1953-04-01	1956-03-20	1480	1480	1480-1	1	no	NA	1600	1200	2000	weaker	yes	low	high	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	7	NA	0		NSA.3.3-325
NSA.3.4-331	49	707	France	FRN	FLN	1954-11-01	1962-07-03	1490	1490	1490-1	1	explicit link	no	40000	40000	40000	weaker	yes	high	high	low	low	no	NA	NA	anti-colonial	no	no	extensive	Morocco; Tunisia	explicit	non-military	Arab states	no	NA		no	7	NA	0		NSA.3.3-328
NSA.3.4-334	49	709	France	FRN	MNA	1955-01-01	1957-12-31	1490	1490	1490-2	1	explicit link	no	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	7	NA	0		NSA.3.3-331
NSA.3.4-337	50	590	Argentina	ARG	Military faction (forces of Eduardo A. Lonardi Doucet)	1955-09-16	1955-09-19	1500	1500.1	1500.1-1	0	no	NA	NA	NA	NA	stronger	yes	high	moderate	high	high	yes	All of Argentina outside of Buenos Aries	moderate	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-334
NSA.3.4-340	50	592	Argentina	ARG	Military faction (Colorados)	1963-04-02	1963-12-31	1500	1500.3	1500.3-1	0	no	NA	NA	NA	NA	weaker	yes	high	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-337
NSA.3.4-343	50	593	Argentina	ARG	Montoneros	1975-10-05	1977-12-31	1500	1500.2	1500.2-2	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-340
NSA.3.4-346	50	594	Argentina	ARG	ERP	1974-08-11	1977-12-31	1500	1500.2	1500.2-1	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-343
NSA.3.4-349	50	810	Argentina	ARG	Military faction (forces of Samuel Toranzo Calderón)	1955-06-16	1955-06-16	1500	1500.1	1500.1-1	0	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	coup d'etat	NA	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-346
NSA.3.4-352	51	710	United Kingdom	UKG	EOKA	1955-06-02	1959-12-31	1510	1510	1510-1	1	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	terrorist	tacit	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-349
NSA.3.4-355	52	614	South Vietnam, USA	RVN	FNL	1955-04-01	1964-12-31	1520	1520	1520-1	0	explicit link	no	40000	6000	80000	parity	yes	moderate	moderate	moderate	moderate	no	NA	NA	communist rebellion	explicit	major	extensive	N. Vietnam; Laos	explicit	military	N. Vietnam; China; USSR	explicit	troops	USA	no	6	NA	0		NSA.3.3-352
NSA.3.4-358	54	286	India	IND	NSCN	1992-07-31	2000-12-31	1540	1540.2	1540.2-1	0	no	NA	2500	600	4500	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	explicit	no	extensive	Bangladesh; Burma	explicit	military	Burma; alleged: Bangladesh; Pakistan; China	no	NA		no	2	NA	1	NSA.3.4-364	NSA.3.3-355
NSA.3.4-361	54	453	India	IND	NSCN - K	2005-01-01	2007-12-31	NA	NA	NA	0	no	NA	2000	2000	2000	much weaker	yes	high	moderate	low	low	no	NA	NA	secessionist conflict	no	minor	no	NA	no	NA	NA	explicit	troops	Myanmar	no	5	NA	1	NSA.3.4-358,NSA.3.4-364	NSA.3.3-358
NSA.3.4-364	54	711	India	IND	NNC	1956-01-01	1968-06-15	1540	1540.1	1540.1-1	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	5	NA	0		NSA.3.3-361
NSA.3.4-367	56	311	Myanmar	MYA	KNPP	1957-01-01	1957-12-31	1560	1560.1	1560.1-1	0	explicit link	no	500	300	700	much weaker	yes	moderate	low	low	low	yes	parts of Karenni region	NA	secessionist conflict	no	no	no	.	no	NA		no	NA	.	no	5	NA	0		NSA.3.3-364
NSA.3.4-370	56	311	Myanmar	MYA	KNPP	1987-01-01	1987-12-31	NA	NA	NA	0	explicit link	no	1000	1000	1000	much weaker	yes	moderate	moderate	low	low	yes	parts of Karenni region	moderate	secessionist conflict	no	no	no	NA	no	NA	NA	explicit	military	China	no	5	NA	1	NSA.3.4-367	NSA.3.3-367
NSA.3.4-373	56	311	Myanmar	MYA	KNPP	1992-01-01	1992-12-31	1560	1560.2	1560.2-1	0	explicit link	no	1000	1000	1000	much weaker	yes	moderate	low	low	low	yes	parts of Karenni region	moderate	secessionist conflict	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NSA.3.4-367,NSA.3.4-370	NSA.3.3-370
NSA.3.4-376	56	311	Myanmar	MYA	KNPP	1996-01-01	1996-10-15	1560	1560.3	1560.3-1	0	explicit link	no	1000	1000	1000	much weaker	yes	moderate	low	low	low	yes	parts of Karenni region	moderate	secessionist conflict	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NSA.3.4-367,NSA.3.4-370,NSA.3.4-373	NSA.3.3-373
NSA.3.4-379	56	311	Myanmar	MYA	KNPP	2005-01-01	2005-12-31	NA	NA	NA	0	explicit link	no	1400	800	2000	much weaker	yes	moderate	moderate	low	low	yes	parts of Karenni region	moderate	secessionist conflict	no	no	no	NA	no	NA	NA	explicit	military	China	no	5	NA	1	NSA.3.4-367,NSA.3.4-370,NSA.3.4-373,NSA.3.4-376	NSA.3.3-376
NSA.3.4-382	57	713	France	FRN	UPC	1957-09-01	1959-12-31	1570	1570	1570-1	1	explicit link	no	NA	NA	NA	much weaker	yes	low	moderate	low	low	no	NA	NA	anti-colonial	no	no	some	Nigeria 	no	NA		no	NA		no	7	NA	0		NSA.3.3-379
NSA.3.4-385	59	715	France, Spain	FRN	National Liberation Army	1957-01-12	1958-03-01	1590/1600	1590/1600	1590/1600-1	1	no	NA	5000	4500	5500	weaker	yes	moderate	high	low	low	no	NA	NA	anti-colonial	no	major	extensive	Morocco	explicit	military	Morocco	explicit	military	Spain; France	no	4	1	0		NSA.3.3-382
NSA.3.4-388	60	716	Spain	SPN	NLA	1957-10-1	1958-6-30	NA	NA	NA	1	no	NA	2000	1000	12000	weaker	yes	high	NA	NA	NA	yes	Ifni	high	anti-colonial	explicit	major	NA	NA	explicit	military	Morocco	explicit	military	France	NA	4	1	0		NSA.3.3-385
NSA.3.4-391	61	607	Muscat and Oman, United Kingdom	UKG	State of Oman/Free Oman	1957-07-01	1957-08-12	1610	1610	1610-1	1	no	NA	NA	NA	NA	weaker	yes	moderate	moderate	low	low	yes	Villages in Oman Province	low	secessionist conflict	no	no	some	Saudi Arabia	explicit	endorsement; alleged military	Egypt; Saudi Arabia	explicit	troops	United Kingdom 	no	4	1	0		NSA.3.3-388
NSA.3.4-394	62	298	Iraq	IRQ	Supreme Council for the Islamic Revolution in Iraq (SCIRI)	1982-08-01	1987-12-31	1620	1620.4	1620.4-1	0	no	NA	4000	2000	8000	much weaker	no	NA	low	low	low	no	NA	NA	civil war	tacit	no	extensive	Iran 	explicit	military	Iran	no	NA		no	5	NA	0		NSA.3.3-391
NSA.3.4-397	62	298	Iraq	IRQ	Supreme Council for the Islamic Revolution in Iraq (SCIRI)	1991-01-01	1996-12-31	1620	1620.6	1620.6-1	0	no	NA	4000	2000	8000	much weaker	no	NA	low	low	low	no	NA	NA	civil war	tacit	no	extensive	Iran 	explicit	military	Iran	no	NA		no	5	NA	1	NSA.3.4-394	NSA.3.3-394
NSA.3.4-400	62	442	Iraq	IRQ	Al-Mahdi Army	2004-01-01	2008-12-31	NA	NA	NA	0	explicit link	yes	60000	6000	60000	weaker	yes	low	moderate	low	low	yes	Sadr City	low	civil war	no	no	no	no	alleged	military	Iran	explicit	military	United States, United Kingdom, many others	no	6	NA	0		NSA.3.3-397
NSA.3.4-403	62	443	Iraq	IRQ	Ansar al-Islam	2004-01-01	2007-12-31	NA	NA	NA	0	no	NA	1600	1600	1600	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	no		no	NA	NA	explicit	military	United States, United Kingdom, many others	no	6	NA	0		NSA.3.3-400
NSA.3.4-406	62	448	Iraq	IRQ	ISI/Jama’at Al-Tawhid wa Al-Jihad	2004-1-1	2005-12-31	NA	NA	NA	0	no	NA	1500	1500	1500	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	explicit	major	no		no	NA	NA	explicit	military	United States, United Kingdom, and many others	no	NA	NA	0		NSA.3.3-403
NSA.3.4-409	62	448	Iraq	IRQ	ISI/Jama’at Al-Tawhid wa Al-Jihad	2006-1-1	2007-12-31	NA	NA	NA	0	no	NA	2000	2000	2000	much weaker	yes	moderate	low	low	low	yes	Al-Anbar Province	moderate	civil war	explicit	major	no		no	NA	NA	explicit	military	United States, United Kingdom, and many others	no	NA	NA	1	NSA.3.4-406	NSA.3.3-406
NSA.3.4-412	62	448	Iraq	IRQ	ISI/Jama’at Al-Tawhid wa Al-Jihad	2008-1-1	2011-12-31	NA	NA	NA	0	no	NA	2000	2000	2000	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	explicit	major	no		no	NA	NA	explicit	military	United States, United Kingdom, and many others	no	NA	NA	1	NSA.3.4-406,NSA.3.4-409	NSA.3.3-409
NSA.3.4-415	62	578	Iraq	IRQ	RJF/Al-Jaysh al-Islami fi Iraq	2005-01-01	2007-12-31	NA	NA	NA	0	explicit link	yes	2000	2000	2000	much weaker	yes	low	low	low	low	no	NA	NA	civil war	no	no	no	NA	no	NA	no	explicit	military	United States, United Kingdom, and many others	no	5	NA	0		NSA.3.3-412
NSA.3.4-418	62	717	Iraq	IRQ	Military Faction (Free Officers Movement)	1958-07-14	1958-07-14	1620	1620.1	1620.1-1	0	explicit link	no	NA	NA	NA	much stronger	yes	high	moderate	high	high	no	NA	NA	coup d'etat	no	no	no		explicit	non-military	Egypt	no	NA		no	4	2	0		NSA.3.3-415
NSA.3.4-421	62	718	Iraq	IRQ	Military faction (forces of Abdul Wahab al-Shawaf)	1959-03-08	1959-03-15	1620	1620.2	1620.2-1	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-418
NSA.3.4-424	62	719	Iraq	IRQ	Military faction (forces of Brigadier Arif)	1963-11-18	1963-11-18	1620	1620.3	1620.3-1	0	no	NA	NA	NA	NA	stronger	yes	high	high	high	high	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-421
NSA.3.4-427	62	720	Iraq	IRQ	NCRC	1963-01-01	1963-12-31	NA	NA	NA	0	explicit link	no	NA	NA	NA	stronger	yes	moderate	low	high	high	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA	NA	no	4	2	0		NSA.3.3-424
NSA.3.4-430	63	376	Lebanon	LEB	Lebanese Army (Aoun)	1989-03-15	1990-10-13	1630	1630.3	1630.3-2	0	explicit link	no	20000	20000	20000	stronger	yes	high	moderate	moderate	high	no	NA	NA	civil war	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-427
NSA.3.4-433	63	383	Lebanon	LEB	Lebanese Forces	1989-01-01	1989-09-23	NA	NA	NA	0	no	NA	6000	6000	6000	parity	yes	high	moderate	moderate	moderate	no	NA	NA	civil war	no	no	no	NA	explicit	military	Iraq	explicit	troops	Syria	no	1	NA	0		NSA.3.3-430
NSA.3.4-436	63	570	Lebanon	LEB	Independent Nasserite Movement /Mourabitoun militia	1958-05-15	1958-10-15	1630	1630.1	1630.1-1	0	no	NA	NA	NA	NA	parity	no	NA	moderate	moderate	moderate	yes	The Muslim Quarter of Beirut, the Muslim Quarter of Tripoli, the Hills south of Beirut	low	civil war	tacit	no	no		alleged	military	USSR	explicit	troops	USA 	no	1	NA	0		NSA.3.3-433
NSA.3.4-439	63	722	Lebanon	LEB	Lebanese National Movement	1975-04-13	1976-10-16	1630	1630.2	1630.2-1	0	no	NA	35000	25000	45000	parity	no	NA	high	low	moderate	yes	Much of Southern Lebanon	moderate	civil war	no	major	no		no	NA		explicit	troops	Israel; Syria	no	1	NA	0		NSA.3.3-436
NSA.3.4-442	63	722	Lebanon	LEB	Lebanese National Movement	1982-01-01	1983-12-31	1630	1630.3	1630.3-3	0	no	NA	40000	40000	40000	stronger	no	NA	high	low	moderate	yes	Much of Southern Lebanon	moderate	civil war	no	major	no		no	NA		explicit	troops	Syria	no	NA	NA	1	NSA.3.4-439	NSA.3.3-439
NSA.3.4-445	63	722	Lebanon	LEB	Lebanese National Movement	1984-01-01	1984-12-31	1630	1630.3	1630.3-3	0	no	NA	40000	40000	40000	stronger	no	NA	high	low	moderate	yes	Much of Southern Lebanon	moderate	civil war	no	no	no		no	NA		explicit	troops	Syria	no	1	NA	1	NSA.3.4-439,NSA.3.4-442	NSA.3.3-442
NSA.3.4-448	63	723	Lebanon	LEB	LAA/Lebanese Arab Army	1976-01-20	1976-10-22	NA	NA	NA	0	no	NA	4000	4000	4000	parity	yes	high	moderate	moderate	moderate	yes	half of Lebanon	moderate	civil war	no	no	no	NA	no	NA	NA	explicit	troops	Syria	no	1	NA	0		NSA.3.3-445
NSA.3.4-451	63	724	Lebanon	LEB	Amal	1983-01-01	1984-12-31	NA	NA	NA	0	explicit link	yes	14000	14000	14000	weaker	yes	high	moderate	low	low	yes	parts of Beirut	moderate	civil war	no	no	no	NA	no	NA	NA	explicit	troops	France, United States	no	6.1	NA	0		NSA.3.3-448
NSA.3.4-454	63	725	Lebanon	LEB	NUF	1985-01-01	1986-12-31	NA	NA	NA	0	explicit link	yes	NA	NA	NA	parity	yes	moderate	moderate	moderate	moderate	yes	parts of Lebanon and Beirut	moderate	civil war	no	no	no	NA	explicit	military	Syria	no	NA	NA	no	5	NA	1	NSA.3.4-439,NSA.3.4-442,NSA.3.4-445,NSA.3.4-451	NSA.3.3-451
NSA.3.4-457	63	726	Lebanon	LEB	Lebanese Forces - Hobeika faction	1986-01-01	1986-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	high	low	moderate	moderate	no	NA	NA	civil war	no	no	no	NA	no	NA	NA	no	NA	NA	no	4	1	0		NSA.3.3-454
NSA.3.4-460	64	585	Malaysia	MAL	CPM	1958-01-01	1960-12-31	1310	1310	1310-1	0	explicit link	no	500	500	2000	weaker	yes	moderate	low	low	low	yes	Parts of rural Malaysia	low	communist rebellion	no	no	some	Thailand	no	NA	NA	explicit	military	UK	no	5	NA	0		NSA.3.3-457
NSA.3.4-463	64	585	Malaysia	MAL	CPM	1974-01-01	1975-12-31	1640	1640.1	1640.1-1	0	explicit link	no	3000	3000	3000	weaker	yes	moderate	moderate	low	low	yes	Jungles of Pahang, Perak and Kelantan	low	communist rebellion	no	no	no		no	NA		explicit	troops	UK; Australia; New Zealand	no	5	NA	1	NSA.3.4-460	NSA.3.3-460
NSA.3.4-466	64	585	Malaysia	MAL	CPM	1981-01-01	1981-10-15	1640	1640.2	1640.2-1	0	explicit link	no	3000	3000	3000	weaker	yes	moderate	moderate	low	low	yes	Jungles of Pahang, Perak and Kelantan	low	communist rebellion	no	no	no		no	NA		explicit	troops	UK; Australia; New Zealand	no	5	NA	1	NSA.3.4-463	NSA.3.3-463
NSA.3.4-469	65	382	Laos	LAO	LRM	1989-12-01	1990-12-31	1650	1650.2	1650.2-1	0	explicit link	no	4000	1000	10000	weaker	yes	low	low	low	low	yes	Parts of the Hill country of Laos	low	civil war	explicit	no	extensive	Thailand	explicit	military	Thailand	explicit	military	Vietnam; USSR	no	5	NA	0		NSA.3.3-466
NSA.3.4-472	65	734	Laos, United States, Thailand, South Vietnam	LAO	Pathet Lao	1959-11-12	1973-02-22	1650	1650.1	1650.1-1	0	explicit link	no	48000	48000	48000	parity	yes	high	moderate	moderate	moderate	yes	Parts of Laos along the border with Vietnam	moderate	communist rebellion	no	no	extensive	N. Vietnam	explicit	troops	N. Vietnam; USSR (military)	explicit	troops	Thailand; USA (military)	no	4	2	0		NSA.3.3-469
NSA.3.4-475	65	736	Laos, Thailand	LAO	Neutrals	1960-12-10	1960-12-31	1650	1650.1	1650.1-2	0	explicit link	no	1200	800	1200	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	civil war	no	no	some	China; N. Vietnam	explicit	military	N. Vietnam; China	explicit	troops	Thailand; USA (military)	no	5	NA	0		NSA.3.3-472
NSA.3.4-478	66	738	Portugal	POR	MPLA	1961-02-04	1974-07-31	1660	1660	1660-1	1	no	NA	NA	NA	NA	weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	no	no	extensive	Congo-B; Zambia; Tanzania	explicit	military	USSR; China; Cuba; Congo; Zambia; Tanzania	explicit	military	Rhodesia; S. Africa	no	7	NA	0		NSA.3.3-475
NSA.3.4-481	66	739	Portugal	POR	FNLA	1961-02-04	1974-07-31	1660	1660	1660-2	1	no	NA	NA	NA	NA	much weaker	yes	low	moderate	low	low	no	NA	NA	anti-colonial	no	no	extensive	Congo-K	explicit	military	Algeria; Zaire; OAU	explicit	military	Rhodesia; S. Africa	no	7	NA	0		NSA.3.3-478
NSA.3.4-484	66	740	Portugal	POR	UNITA	1966-12-01	1967-12-31	1660	1660	1660-5	1	no	NA	NA	NA	NA	weaker	yes	high	moderate	low	low	yes	Much of southern and central Angola	moderate	anti-colonial	no	no	some	Zambia; Tanzania	explicit	military	Tanzania; Zambia; China	explicit	military	Rhodesia; S. Africa	no	7	NA	0		NSA.3.3-481
NSA.3.4-487	67	307	Myanmar	MYA	Shan State Army - South (SSA-S)	1996-01-01	2011-12-31	NA	NA	1670-4	0	no	NA	8000	800	15000	much weaker	yes	moderate	low	low	low	yes	Parts of Shan State	moderate	secessionist conflict	no	no	extensive	Thailand	explicit	non-military	Thailand	no	NA		no	NA	NA	1	NSA.3.4-490,NSA.3.4-493,NSA.3.4-496,NSA.3.4-499,NSA.3.4-502,NSA.3.4-505,NSA.3.4-508,NSA.3.4-511	NSA.3.3-484
NSA.3.4-490	67	308	Myanmar	MYA	MTA	1985-01-01	1988-12-31	1670	1670	1670-3	0	no	NA	10000	2100	20000	weaker	yes	moderate	low	low	low	yes	Parts of Shan State	moderate	secessionist conflict	no	no	some	Thailand	no	NA		explicit	military	China	no	5	NA	1	NSA.3.4-496,NSA.3.4-499,NSA.3.4-502,NSA.3.4-505,NSA.3.4-508,NSA.3.4-511	NSA.3.3-487
