actorid,name data,name orig,name orig full,name orig fulleng,namechange,newname,newname full mt,newname fulleng,org,conflictid,dyadid,primary party,osid,osvcoalition,osvcoalitionid,nsid,nscoalition,nscoalitionid,splinter,name prev,actorid prev,split temp,name split temp,actorid split temp,alliance,name alliance,actorid alliance,join group,group name,actorid group,location,gwno loc,region
1056,Republic of South Moluccas,Republic of South Moluccas,,Republic of South Moluccas,0,,,,1,1-40,605,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1057,Military faction (navy),Military faction (navy),,Military faction (navy),0,,,,1,1-43,598,,,0,,,0,,0,,,0,,,0,,,0,,,Thailand,800,3
1058,CPT,CPT,,Communist Party of Thailand,0,,,,1,1-43,599,,,0,,,0,,0,,,0,,,0,,,0,,,Thailand,800,3
1059,Darul Islam,Darul Islam,Darul Islam,Islamic State,0,,,,1,1-46,595,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1060,Permesta Movement,Permesta Movement,Permesta Movement,Permesta Movement,0,,,,1,1-46,752,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1061,PRRI,PRRI,Pemerintah Revolusioner Republik Indonesia,Revolutionary Government of the Indonesian Republic,0,,,,1,1-46,596,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1062,EOKA,EOKA,Ethniki organosis kiprion agoniston,National Union of Cypriot Fighters,0,,,,1,1-51,710,,,0,,,0,,0,,,0,,,0,,,0,,,Cyprus,352,1
1063,FNL,FNL,Front national de libération,National Liberation Front,0,,,,1,1-52,614,,,0,,,0,,0,,,0,,,0,,,0,,,South Vietnam,817,3
1064,NNC,NNC,,Naga Nationalist Council,0,,,,1,1-54,711,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1065,NSCN-IM,NSCN,,National Socialist Council of Nagaland,1,NSCN-IM,,National Socialist Council of Nagaland – Isaac-Muivah faction,1,1-54,286,,1065,0,,"2-124, 2-125",0,,1,NNC,1064,0,,,0,,,0,,,India,750,3
1066,NSCN-K,NSCN-K,,National Socialist Council of Nagaland- Khaplang faction,0,,,,1,1-277,853,,,0,,"2-124, 2-504",0,,1,NSCN-IM,1065,0,,,0,,,0,,,"India, Myanmar (Burma)","750, 775",3
1067,KNPP,KNPP,,Karenni National Progressive Party,0,,,,1,1-56,311,,,0,,,0,,1,KNU,1021,0,,,0,,,0,,,Myanmar (Burma),775,3
1068,State of Oman/Free Oman,State of Oman/Free Oman,,State of Oman/Free Oman,0,,,,1,1-61,607,,,0,,,0,,0,,,0,,,0,,,0,,,Oman,698,2
1069,Military faction (free Officers Movement),Military faction (free Officers Movement),,Military faction (free Officers Movement),0,,,,1,1-62,717,,,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1070,Military faction (forces of Abdul Wahab al-Shawaf),Military faction (forces of Abdul Wahab al-Shawaf),,Military faction (forces of Abdul Wahab al-Shawaf),0,,,,1,1-62,718,,,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1071,Military faction (forces of Abd as-Salam Arif),Military faction (forces of Abd as-Salam Arif),,Military faction (forces of Abd as-Salam Arif),0,,,,1,1-62,719,,,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1072,NCRC,NCRC,,National Council of the Revolutionary Command,0,,,,1,1-62,720,,,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1073,SCIRI,SCIRI,,Supreme Council for the Islamic Revolution in Iraq,0,,,,1,1-62,298,,,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1074,al-Mahdi Army,al-Mahdi Army,Jaish al-Mahdi,al-Mahdi Army,0,,,,1,1-62,442,,1074,0,,,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1075,Ansar al-Islam,Ansar al-Islam,Ansar al-Islam,Supporters of Islam,1,"JAAS, Ansar al-Islam","Jaish Ansar Al-Sunna, Ansar al-Islam","Supporters of the Protectors of the Faith, Supporters of Islam",1,1-62,443,,1075,0,,2-17,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1076,IS,Jama’at Al-Tawhid wa Al-Jihad,Jama’at Al-Tawhid wa Al-Jihad,The Monotheism and Jihad Group,1,"TQJBR, ISI, ISIS, IS","Tanzim Qa’idat al Jihad fi Bilad al Rafidayn, Dawlat al-’Iraq al-Islamiyya, al-Dawla al-Islamiya fi al-Iraq wa al-Sham, al-Dawla al-Islamiyya","Organization of of Jihad’s Base in the Country of the Two Rivers, Islamic State of Iraq, Islamic State in Iraq and al-Sham, Islamic State",1,"1-62, 1-63","14244, 448",,1076,0,,"2-13801, 2-13813, 2-14152, 2-14341, 2-14342, 2-14344, 2-14348, 2-14361, 2-14369, 2-14374, 2-14379, 2-14393, 2-14397, 2-88, 2-13767, 2-13794, 2-14355, 2-1, 2-13770",1,"565281, 565282, 565284",0,,,0,,,0,,,0,,,"Iraq, Syria, Jordan, Lebanon","645, 652, 663, 660",2
1077,RJF,IAI,Al-Jaysh al-Islami fi Iraq,Islamic Army of Iraq,1,RJF,,Reformation and Jihad Front,1,1-62,578,,,0,,2-88,0,,0,,,0,,,0,,,0,,,Iraq,645,2
1078,Independent Nasserite Movement,Independent Nasserite Movement,,Independent Nasserite Movement,0,,,,1,1-63,570,,,0,,,0,,0,,,0,,,1,NSF,1079,0,,,Lebanon,660,2
1079,NSF,LNM,,Lebanese National Movement,1,NSF,,National Salvation Front,1,1-63,722,,,0,,,0,,0,,,0,,,1,NUF,1082,0,,,Lebanon,660,2
1080,LAA,LAA,,Lebanese Arab Army,0,,,,1,1-63,723,,,0,,,0,,0,,,0,,,0,,,0,,,Lebanon,660,2
1081,Amal,Amal,Afwâj al-Muqâwmat al-Lubnâniyya,Lebanese Resistance Detachment,0,,,,1,1-63,724,,,0,,2-234,0,,0,,,0,,,1,NUF,1082,0,,,Lebanon,660,2
1082,NUF,NUF,,National Union Front,0,,,,1,1-63,725,,,0,,,0,,0,,,0,,,0,,,0,,,Lebanon,660,2
1083,Lebanese Forces - Hobeika faction,Lebanese Forces - Hobeika faction,,Lebanese Forces - Hobeika faction,0,,,,1,1-63,726,,,0,,,0,,1,Lebanese Forces,1085,0,,,0,,,0,,,Lebanon,660,2
1084,Forces of Michel Aoun,Forces of Michel Aoun,,Forces of Michel Aoun,0,,,,1,1-63,376,,,0,,"2-237, 2-389",0,,0,,,0,,,0,,,0,,,Lebanon,660,2
1085,Lebanese Forces,Lebanese Forces,,Lebanese Forces,0,,,,1,1-63,383,,,0,,2-237,0,,0,,,0,,,0,,,0,,,Lebanon,660,2
1086,Pathet Lao,Pathet Lao,Pathet Lao,Pathet Lao,0,,,,1,1-65,734,,,0,,,0,,1,Lao Issara,1008,0,,,0,,,0,,,Laos,812,3
1087,Neutralists,Neutralists,,Neutralists,0,,,,1,1-65,736,,,0,,,0,,0,,,0,,,0,,,0,,,Laos,812,3
1088,LRM,LRM,,Lao Resistance Movement,0,,,,1,1-65,382,,,0,,,0,,0,,,0,,,0,,,0,,,Laos,812,3
1089,NSH,NSH,Noom Suik Harn,Brave Young Warriors,0,,,,1,1-67,742,,,0,,,0,,0,,,0,,,0,,,0,,,Myanmar (Burma),775,3
1090,SSIA,SSIA,,Shan State Independence Army,0,,,,1,1-67,743,,,0,,,0,,1,NSH,1089,0,,,1,SSA,1092,0,,,Myanmar (Burma),775,3
1091,SNUF,SNUF,,Shan National United Front,0,,,,1,1-67,744,,,0,,,0,,0,,,0,,,1,SSA,1092,0,,,Myanmar (Burma),775,3
1092,SSA,SSA,,Shan State Army,0,,,,1,1-67,746,,,0,,,0,,0,,,0,,,1,TRC,1096,0,,,Myanmar (Burma),775,3
1093,SSNLO,SSNLO,,Shan State Nationalities Liberation Organization,0,,,,1,1-67,748,,,0,,,0,,0,,,0,,,0,,,0,,,Myanmar (Burma),775,3
1094,SURA,SURA,,Shan United Revolutionary Army,0,,,,1,1-67,747,,,0,,,0,,0,,,0,,,1,TRC,1096,0,,,Myanmar (Burma),775,3
1095,SSRA,SSRA,,Shan State Revolutionary Army,0,,,,1,1-67,750,,,0,,,0,,0,,,0,,,0,,,0,,,Myanmar (Burma),775,3
1096,TRC,TRC,,Tailand Revolutionary Council,0,,,,1,1-67,751,,,0,,,0,,0,,,0,,,0,,,0,,,Myanmar (Burma),775,3
1097,MTA,MTA,,Mong Tai Army,0,,,,1,1-67,308,,,0,,2-248,0,,0,,,0,,,0,,,0,,,"Myanmar (Burma), Thailand","775, 800",3
1098,RCSS,RCSS,,Restoration Council of Shan States,0,,,,1,1-67,307,,,0,,2-146,0,,1,MTA,1097,0,,,0,,,0,,,Myanmar (Burma),775,3
1099,NC,NC,,Nepali Congress,0,,,,1,1-72,652,,,0,,,0,,0,,,0,,,0,,,0,,,Nepal,790,3
1100,CPN-M,CPN-M,,Communist Party of Nepal-Maoist,0,,,,1,1-72,349,,1100,0,,2-40,0,,0,,,0,,,0,,,0,,,Nepal,790,3
1101,OAS,OAS,Organisation de l’armée secrète,Secret Army Organization,0,,,,1,1-73,584,,,0,,,0,,0,,,0,,,0,,,0,,,France,220,1
1102,KDP,KDP,Al-hizb al dimuqraati al-kurid,Kurdish Democratic Party of Iraq,0,,,,1,1-74,279,,,0,,"2-218, 2-217",0,,0,,,0,,,0,,,0,,,"Iraq, Turkey","645, 640",2
1103,PUK,PUK,,Patriotic Union of Kurdistan,0,,,,1,1-74,285,,,0,,"2-17, 2-217, 2-216, 2-388",0,,1,KDP,1102,0,,,0,,,0,,,"Iraq, Turkey","645, 640",2
1104,KDP-QM,KDP-QM,Al-hizb al dimuqraati al-kurid - Qiyada Muvaqqata,Kurdish Democratic Party of Iraq-Provisional Command ,0,,,,1,1-74,653,,,0,,,0,,1,KDP,1102,0,,,0,,,1,KDP,1102,Iraq,645,2
1105,North Kalimantan Liberation Army,North Kalimantan Liberation Army,Tentera Nasional Kalimantan Utama,North Kalimantan Liberation Army,0,,,,1,1-76,655,,,0,,,0,,0,,,0,,,0,,,0,,,Brunei,835,3
1106,CCO,CCO,,Clandestine Communist Organization,0,,,,1,1-83,586,,,0,,,0,,0,,,0,,,0,,,0,,,Malaysia,820,3
1107,FLOSY,NLF,,National Liberation Front,1,FLOSY,,Front for the Liberation of South Yemen,1,1-89,686,,,0,,,0,,0,,,0,,,0,,,0,,,South Yemen,680,2
1108,OPM,OPM,Organisasi Papua merdeka,Organization for a Free Papua,0,,,,1,1-94,498,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1109,MNF,MNF,,Mizo National Front,0,,,,1,1-99,505,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1110,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),0,,,,1,1-102,518,,,0,,,0,,0,,,0,,,0,,,0,,,Syria,652,2
1111,Muslim Brotherhood,Muslim Brotherhood,,Muslim Brotherhood,0,,,,1,1-102,519,,,0,,,0,,0,,,0,,,0,,,0,,,Syria,652,2
1112,KR,KR,Khmer Rouge,Red Khmers,1,"FUNK, KR","Front uni national du Kampuchéa, Khmer Rouge","National United Front of Kampuchea, Red Khmers",1,1-103,364,,1112,0,,,0,,0,,,0,,,0,,,0,,,Cambodia (Kampuchea),811,3
1113,KNUFNS,KNUFNS,,Kampuchean National United Front for National Salvation,0,,,,1,1-103,553,,,0,,,0,,0,,,0,,,0,,,0,,,Cambodia (Kampuchea),811,3
1114,KPNLF,KPNLF,,Khmer People’s National Liberation Front,0,,,,1,1-103,378,,,0,,,0,,0,,,0,,,0,,,0,,,Cambodia (Kampuchea),811,3
1115,FUNCINPEC,FUNCINPEC,"Front uni national pour un Cambodge indépendent, neutre, pacifique et coopératif","United National Front for an Independent, Neutral, Peaceful and Cooperative Cambodia",0,,,,1,1-103,379,,,0,,,0,,0,,,0,,,0,,,0,,,Cambodia (Kampuchea),811,3
1116,MIM,MIM,,Mindanao Independence Movement,0,,,,1,1-112,507,,,0,,,0,,0,,,0,,,0,,,0,,,Philippines,840,3
1117,MNLF,MNLF,,Moro National Liberation Front,0,,,,1,1-112,247,,,0,,,0,,1,MIM,1116,0,,,0,,,0,,,Philippines,840,3
1118,MILF,MILF,,Moro Islamic Liberation Front,0,,,,1,1-112,242,,1118,0,,2-446,0,,1,MNLF,1117,0,,,0,,,0,,,Philippines,840,3
1119,ASG,ASG,,Abu Sayyaf Group,0,,,,1,1-112,249,,1119,0,,,0,,0,,,0,,,0,,,0,,,Philippines,840,3
1120,MNLF - NM,MNLF - NM,,Moro National Liberation Front - Nur Misauri faction,0,,,,1,1-112,252,,,0,,,0,,1,MNLF,1117,0,,,0,,,0,,,Philippines,840,3
1121,MNLF - HM,MNLF - HM,,Moro National Liberation Front - Habier Malik faction,0,,,,1,1-112,647,,,0,,,0,,1,MNLF,1117,0,,,0,,,0,,,Philippines,840,3
1122,Mukti Bahini,Mukti Bahini,Mukti Bahini,Liberation Force,0,,,,1,1-116,542,,,0,,,0,,0,,,0,,,0,,,0,,,Pakistan,770,3
1123,JVP,JVP,Janatha Vimukthi Peramuna,People's Liberation Front,0,,,,1,1-117,256,,1123,0,,,0,,0,,,0,,,0,,,0,,,Sri Lanka,780,3
1124,PIRA,PIRA,,Provisional Irish Republican Army,0,,,,1,1-119,216,,,0,,,0,,0,,,0,,,0,,,0,,,United Kingdom,200,1
1125,RIRA,RIRA,,Real Irish Republican Army,0,,,,1,1-119,248,,,0,,,0,,1,PIRA,1124,0,,,0,,,0,,,United Kingdom,200,1
1126,PFLO,PFLOAG,al-Jabha al-Sha'abiya li-Tahrir al-Khalij al-'Arabi al-Muhtall,Popular Front for the Liberation of the Occupied Arab Gulf,1,PFLO,,Popular Front for the Liberation of Oman,1,1-121,561,,,0,,,0,,0,,,0,,,0,,,0,,,Oman,698,2
1127,JSS/SB,JSS/SB,Jana Samhati Samiti/Shanti Bahini,People's Solidarity Association/Peace Force,0,,,,1,1-126,223,,1127,0,,,0,,0,,,0,,,0,,,0,,,Bangladesh,771,3
1129,BLA,BLA,,Balochistan Liberation Army,0,,,,1,1-129,639,,1129,0,,,0,,0,,,0,,,0,,,0,,,Pakistan,770,3
1130,Baloch Ittehad,Baloch Ittehad,Baloch Ittehad,Baloch Unity,0,,,,1,1-129,638,,,0,,,0,,0,,,0,,,0,,,0,,,Pakistan,770,3
1131,BRA,BRA,,Balochistan Republican Army,0,,,,1,1-129,774,,,0,,,0,,0,,,0,,,0,,,0,,,Pakistan,770,3
1132,Fretilin,Fretilin,Frente revolucionária de Timor Leste independente,Revolutionary Front for an Independent East Timor,0,,,,1,1-134,344,,,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1133,PDPA,PDPA,Hizb-i Demokratik-i Khalq-i Afghanistan,People's Democratic Republic of Afghanistan,0,,,,1,1-137,727,,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1134,Jam'iyyat-i Islami-yi Afghanistan,Jam'iyyat-i Islami-yi Afghanistan,Jam'iyyat-i Islami-yi Afghanistan,Islamic Society of Afghanistan,0,,,,1,1-137,411,,,0,,"2-158, 2-161, 2-162, 2-163",0,,0,,,0,,,1,UIFSA,1147,0,,,Afghanistan,700,3
1135,Harakat-i Inqilab-i Islami-yi Afghanistan ,Harakat-i Inqilab-i Islami-yi Afghanistan ,Harakat-i Inqilab-i Islami-yi Afghanistan ,Movement of the Islamic Revolution/Uprising of Afghanistan,0,,,,1,1-137,731,,,0,,2-154,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1136,Hizb-i Islami-yi Afghanistan - Khalis faction,Hizb-i Islami-yi Afghanistan - Khalis faction,Hizb-i Islami-yi Afghanistan - Khalis faction,Islamic Party of Afghanistan - Khalis faction,0,,,,1,1-137,760,,,0,,,0,,1,Hizb-i Islami-yi Afghanistan,1141,0,,,0,,,0,,,Afghanistan,700,3
1137,Jabha-yi Nijat-i Milli-yi Afghanistan ,Jabha-yi Nijat-i Milli-yi Afghanistan ,Jabha-yi Nijat-i Milli-yi Afghanistan ,Afghanistan National Liberation Front,0,,,,1,1-137,733,,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1138,Mahaz-i Milli-yi Islami-yi Afghanistan ,Mahaz-i Milli-yi Islami-yi Afghanistan ,Mahaz-i Milli-yi Islami-yi Afghanistan ,National Islamic Front of Afghanistan,0,,,,1,1-137,732,,,0,,2-162,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1139,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan ,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan ,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan ,Islamic Union for the Freedom of Afghanistan,0,,,,1,1-137,735,,,0,,2-154,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1140,Harakat-i Islami-yi Afghanistan,Harakat-i Islami-yi Afghanistan,Harakat-i Islami-yi Afghanistan,Islamic Movement,0,,,,1,1-137,737,,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1141,Hizb-i Islami-yi Afghanistan,Hizb-i Islami-yi Afghanistan,Hizb-i Islami-yi Afghanistan,Islamic Party of Afghanistan,0,,,,1,1-137,412,,,0,,"2-158, 2-157, 2-159, 2-156, 2-160, 2-10682",0,,1,Jam'iyyat-i Islami-yi Afghanistan,1134,0,,,0,,,0,,,Afghanistan,700,3
1142,Hizb-i Wahdat,Hizb-i Wahdat,Hizb-i Wahdat,Unity Party ,0,,,,1,1-137,413,,,0,,"2-155, 2-156, 2-10676",0,,0,,,0,,,1,UIFSA,1147,0,,,Afghanistan,700,3
1143,Military faction (forces of Shahnawaz Tanay),Military faction (forces of Shahnawaz Tanay),,Military faction (forces of Shahnawaz Tanay),0,,,,1,1-137,476,,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1144,Junbish-i Milli-yi Islami,Junbish-i Milli-yi Islami,Junbish-i Milli-yi Islami,National Islamic Movement,0,,,,1,1-137,422,,,0,,"2-161, 2-159, 2-10676",0,,0,,,0,,,1,UIFSA,1147,0,,,Afghanistan,700,3
1146,Taleban,Taleban,Taleban,Taleban,0,,,,1,1-137,327,,1146,0,,2-160,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1147,UIFSA,UIFSA,Jabha-yi Muttahid-i Islami-yi Milli bara-yi Nijat-i Afghanistan,United Islamic Front for the Salvation of Afghanistan,0,,,,1,1-137,423,,1147,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
1148,TNV,TNV,,Tripura National Volunteers,0,,,,1,1-139,515,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1149,ATTF,ATTF,,All Tripura Tiger Force,0,,,,1,1-139,262,,1149,0,,,0,,1,TNV,1148,0,,,0,,,0,,,India,750,3
1150,NLFT,NLFT,,National Liberation Front of Tripura,0,,,,1,1-139,269,,1150,0,,2-501,0,,1,TNV,1148,0,,,0,,,0,,,"India, Bangladesh","750, 771",3
1151,MEK,MEK,Mujahideen e Khalq,People's Mujahideen,0,,,,1,1-143,246,,,0,,,0,,0,,,0,,,0,,,0,,,Iran,630,2
1152,PJAK,PJAK,Partî Jiyanî Azadî Kurdistan,The Free Life Party of Kurdistan,0,,,,1,1-143,459,,,0,,,0,,0,,,0,,,0,,,0,,,Iran,630,2
1153,Jondullah,Jondullah,Jondullah,God’s Army,0,,,,1,1-143,640,,1153,0,,,0,,0,,,0,,,0,,,0,,,Iran,630,2
1154,APCO,APCO,,Arab Political and Cultural Organization,0,,,,1,1-144,546,,,0,,,0,,0,,,0,,,0,,,0,,,Iran,630,2
1155,JSM,JSM,al-Jama'a al-Salafiyya al-Muhtasiba,The Salafi groups which practice hisba,0,,,,1,1-145,548,,,0,,,0,,0,,,0,,,0,,,0,,,Saudi Arabia,670,2
1156,ETA,ETA,Euskadi ta azkatasuna,Basque Nation and Liberty,0,,,,1,1-147,366,,,0,,,0,,0,,,0,,,0,,,0,,,Spain,230,1
1157,PLA,PLA,,People’s Liberation Army,0,,,,1,1-152,325,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1158,UNLF,UNLF,,United National Liberation Front,0,,,,1,1-152,336,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1159,KNF,KNF,,Kuki National Front,0,,,,1,1-263,788,,1159,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1160,KCP,KCP,,Kangleipak Communist Party,0,,,,1,1-152,764,,,0,,,0,,1,PREPAK,1161,0,,,0,,,0,,,India,750,3
1161,PREPAK,PREPAK,,People's Revolutionary Party of Kangleipak,0,,,,1,1-152,766,,,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1162,Sikh insurgents,Sikh insurgents,,Sikh insurgents,0,,,,1,1-156,387,,1162,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1163,LTTE,LTTE,Thamil Eelam Viduthalai Puligal,Liberation Tigers of Tamil Eelam,0,,,,1,1-157,243,,1163,0,,"2-108, 2-318, 2-319",0,,0,,,0,,,0,,,0,,,Sri Lanka,780,3
1164,TELO,TELO,,Tamil Eelam Liberation Organization,0,,,,1,1-157,526,,,0,,,0,,0,,,0,,,0,,,0,,,Sri Lanka,780,3
1165,EPRLF,EPRLF,,Eelam People's Revolutionary Liberation Front,0,,,,1,1-157,687,,,0,,2-318,0,,0,,,0,,,0,,,0,,,Sri Lanka,780,3
1166,PKK,PKK,Partiya karkeren Kurdistan,Kurdistan Worker’s Party,1,"KADEK, KONGRA-GEL , PKK",,"Kurdistan Freedom and Democracy Congress, People’s Congress of Kurdistan, Kurdistan Worker’s Party",1,1-159,333,,1166,0,,"2-218, 2-388",0,,0,,,0,,,0,,,0,,,"Turkey, Syria, Iraq","640, 652, 645",2
1167,Yemenite Socialist Party - Abdul Fattah Ismail faction,Yemenite Socialist Party - Abdul Fattah Ismail faction,,Yemenite Socialist Party - Abdul Fattah Ismail faction,0,,,,1,1-164,564,,,0,,,0,,0,,,0,,,0,,,0,,,South Yemen,680,2
1168,Kashmir insurgents,Kashmir insurgents,,Kashmir insurgents,0,,,,1,1-169,355,,1168,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1169,ULFA,ULFA,,United Liberation Front of Assam,0,,,,1,1-170,296,,1169,0,,,0,,0,,,0,,,0,,,0,,,India,750,3
1170,GAM,GAM,Gerakan Aceh Merdeka,Free Aceh Movement,0,,,,1,1-171,347,,1170,0,,,0,,0,,,0,,,0,,,0,,,Indonesia,850,3
1171,BRA,BRA,,Bougainville Revolutionary Army,0,,,,1,1-174,337,,,0,,,0,,0,,,0,,,0,,,0,,,Papua New Guinea,910,3
1172,NSF,NSF,Frontul Salvării Naţionale,National Salvation Front,0,,,,1,1-175,357,,,0,,,0,,0,,,0,,,0,,,0,,,Rumania,360,1
1173,Republic of Armenia,Republic of Armenia,,Republic of Armenia,0,,,,1,1-181,370,,,0,,,0,,0,,,0,,,0,,,0,,,Russia (Soviet Union),365,1
1174,APF,APF,,Azerbaijani Popular Front,0,,,,1,1-182,373,,,0,,,0,,0,,,0,,,0,,,0,,,Russia (Soviet Union),365,1
1175,National Guard and Mkhedrioni,National Guard and Mkhedrioni,,National Guard and Mkhedrioni,0,,,,1,1-185,239,,,0,,,0,,0,,,0,,,0,,,0,,,Georgia,372,1
1176,Zviadists,Zviadists,,Zviadists,0,,,,1,1-185,289,,,0,,,0,,0,,,0,,,0,,,0,,,Georgia,372,1
1177,Devrimci Sol,Devrimci Sol,Devrimci Sol,Revolutionary Left,0,,,,1,1-188,330,,,0,,,0,,0,,,0,,,0,,,0,,,Turkey,640,2
1178,MKP,MKP,Maoist Komünist Partisi,Maoist Communist Party,0,,,,1,1-188,457,,,0,,,0,,0,,,0,,,0,,,0,,,Turkey,640,2
1179,Republic of Slovenia,Republic of Slovenia,,Republic of Slovenia,0,,,,1,1-189,281,,,0,,,0,,0,,,0,,,0,,,0,,,Serbia (Yugoslavia),345,1
1180,Republic of Croatia,Republic of Croatia,,Republic of Croatia,0,,,,1,1-190,272,,,0,,"2-346, 2-345, 2-344",0,,0,,,0,,,0,,,0,,,Serbia (Yugoslavia),345,1
1181,Republic of Nagorno-Karabakh,Republic of Nagorno-Karabakh,,Republic of Nagorno-Karabakh,0,,,,1,1-193,361,,1181,0,,,0,,0,,,0,,,0,,,0,,,Azerbaijan,373,1
1182,Serbian Republic of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,,Serbian Republic of Bosnia-Herzegovina,0,,,,1,1-194,292,,1182,1,534601,2-343,0,,0,,,0,,,0,,,0,,,Bosnia-Herzegovina,346,1
1183,Serbian Republic of Krajina,Serbian Republic of Krajina,Republika Srpska Krajina,Serbian Republic of Krajina,0,,,,1,1-195,303,,,0,,2-346,0,,0,,,0,,,0,,,0,,,"Serbia (Yugoslavia), Croatia","345, 344",1
1184,al-Gama'a al-Islamiyya,al-Gama'a al-Islamiyya,al-Gama'a al-Islamiyya,Islamic Group,0,,,,1,1-196,241,,1184,0,,,0,,0,,,0,,,0,,,0,,,Egypt,651,2
1185,Republic of Abkhazia,Republic of Abkhazia,,Republic of Abkhazia,0,,,,1,1-197,259,,1185,0,,"2-203, 2-204",0,,0,,,0,,,0,,,0,,,Georgia,372,1
1186,Republic of South Ossetia,South Ossetian Soviet Democratic Republic ,,South Ossetian Soviet Democratic Republic ,1,Republic of South Ossetia,Respublika Yuzhnaya Osetiya ,Republic of South Ossetia,1,1-198,297,,,0,,2-278,0,,0,,,0,,,0,,,0,,,"Russia (Soviet Union), Georgia","365, 372",1
1187,PMR,PMR,Pridnistrovs'ka Moldavs'ka Respublika,Dniestr Republic,0,,,,1,1-199,367,,,0,,,0,,0,,,0,,,0,,,0,,,Moldova,359,1
1188,UTO,UTO,,United Tajik Opposition,0,,,,1,1-200,353,,,0,,2-479,0,,0,,,0,,,0,,,0,,,Tajikistan,702,3
1189,Forces of Khudoberdiyev,Forces of Khudoberdiyev,,Forces of Khudoberdiyev,0,,,,1,1-200,415,,,0,,,0,,0,,,0,,,0,,,0,,,Tajikistan,702,3
1190,Military faction (forces of Suret Husseinov),Military faction (forces of Suret Husseinov),,Military faction (forces of Suret Husseinov),0,,,,1,1-201,362,,,0,,,0,,0,,,0,,,0,,,0,,,Azerbaijan,373,1
1191,OPON Forces,OPON Forces,Otryad Policija Osobogo Naznacenija,Special Police Brigade,0,,,,1,1-201,407,,,0,,,0,,0,,,0,,,0,,,0,,,Azerbaijan,373,1
1192,Autonomous Province of Western Bosnia,Autonomous Province of Western Bosnia,,Autonomous Province of Western Bosnia,0,,,,1,1-202,294,,,0,,,0,,0,,,0,,,0,,,0,,,Bosnia-Herzegovina,346,1
1193,Croatian Republic of Bosnia-Herzegovina,Croatian Republic of Bosnia-Herzegovina,,Croatian Republic of Bosnia-Herzegovina,0,,,,1,1-203,293,,1193,0,,,0,,0,,,0,,,0,,,0,,,Bosnia-Herzegovina,346,1
1194,Parliamentary Forces,Parliamentary Forces,,Parliamentary Forces,0,,,,1,1-204,350,,,0,,,0,,0,,,0,,,0,,,0,,,Russia (Soviet Union),365,1
1195,Chechen Republic of Ichkeria,Chechen Republic of Ichkeria,,Chechen Republic of Ichkeria,0,,,,1,1-206,348,,1195,0,,"2-275, 2-276",0,,0,,,0,,,0,,,0,,,Russia (Soviet Union),365,1
1196,Democratic Republic of Yemen,Democratic Republic of Yemen,,Democratic Republic of Yemen,0,,,,1,1-207,375,,,0,,,0,,0,,,0,,,0,,,0,,,Yemen (North Yemen),678,2
1197,MQM,MQM,Mohajir Qaumi Mahaz,Mohajir National Movement,1,MQM,Muttahida Qaumi Mahaz,United National Movement,1,1-209,340,,,0,,2-269,0,,0,,,0,,,0,,,0,,,Pakistan,770,3
